point,x,y,z,abs_rel_error
8,0.5239190311901138,-0.83,0.19133438989583781,0.147359237074852
86,0.3985067064328888,0.73,-0.5552408530791043,0.19443129003047943
38,-0.9690377330644508,-0.22999999999999998,-0.08981019929445755,0.25326666235923767
48,-0.5053947738603612,-0.030000000000000034,0.8623665824663165,0.16921918094158173
66,0.236155718741352,0.33000000000000007,0.9139641549348396,0.19756999611854553
11,0.1909562397791545,-0.77,0.6087985828575869,0.34958624839782715
41,-0.5248530201618092,-0.16999999999999993,-0.8340439480189442,0.22019881010055542
76,0.8335538861569624,0.53,0.15584581762955937,0.12489735335111618
22,-0.6855518693235865,-0.55,0.4769891345376079,0.16681839525699615
10,0.25986287961937526,-0.79,-0.5553118797540045,0.4003136456012726
99,0.055727639237472336,0.99,-0.1295933263135805,0.12972211837768555
6,-0.12799834942097849,-0.87,0.4761474798268968,0.198302760720253
42,0.9535255164458032,-0.15000000000000002,0.26132181211442057,0.15778501331806183
37,0.6505500155256161,-0.25,0.7171364425962612,0.32199087738990784
28,-0.3055644949304832,-0.42999999999999994,-0.8495471378551508,0.2533969581127167
50,0.8152062920736045,0.01,0.5790843646340359,0.13396498560905457
33,-0.7463332015518084,-0.32999999999999996,-0.5780023808440825,0.15789173543453217
0,0.14106735979665894,-0.99,0.0,1742993152.0
12,-0.5722834231380972,-0.75,-0.3316499413558544,0.24499864876270294
70,-0.07087130928303524,0.41000000000000014,-0.9093279152871687,0.28947940468788147
96,-0.17962342143733764,0.9299999999999999,-0.32067963214264905,0.1660097986459732
88,-0.48384468997886504,0.77,-0.41592585394425297,0.16673403978347778
80,-0.7416320598954952,0.6100000000000001,-0.27907326589117165,0.2613712549209595
60,0.850660805595189,0.20999999999999996,-0.4819504059798521,0.12744678556919098
96,-0.17962342143733764,0.9299999999999999,-0.32067963214264905,0.1702517420053482
76,0.8335538861569624,0.53,0.15584581762955937,0.16234293580055237
90,-0.4196947695184392,0.81,0.4095806397266161,0.3894965350627899
74,-0.08467967930963359,0.49,0.8675997648178667,0.2536776065826416
52,0.6473587655569581,0.05000000000000004,-0.7605436402051965,0.20477208495140076
25,-0.8304836655326296,-0.49,-0.2649469405059952,0.13757628202438354
81,0.720699071449949,0.6300000000000001,-0.28929716281218687,0.23927389085292816
60,0.850660805595189,0.20999999999999996,-0.4819504059798521,0.17860889434814453
24,0.42766226127270884,-0.51,0.7463276695146129,0.21887634694576263
55,0.9926348887829454,0.11000000000000008,0.05075408920343027,0.19657769799232483
82,-0.32879508163366533,0.6500000000000001,0.6851231964351457,0.2756129801273346
82,-0.32879508163366533,0.6500000000000001,0.6851231964351457,0.5210720300674438
32,0.15866307873945915,-0.35,0.9232150494033967,0.2603738307952881
13,0.6675062690706619,-0.73,-0.1467493807529188,0.10946884006261826
49,-0.20994188111981057,-0.010000000000000018,-0.97766272637954,0.19122084975242615
71,0.6597362540258498,0.42999999999999994,0.6163181606312923,0.7206526398658752
77,-0.7090144449898004,0.55,0.4413598495511404,0.24199539422988892
56,-0.764358245970163,0.13000000000000012,0.6315508465811884,0.16928762197494507
88,-0.48384468997886504,0.77,-0.41592585394425297,0.2006048709154129
84,0.6226773310637855,0.69,0.369016180375984,0.1635517179965973
54,-0.6990651512013292,0.09000000000000007,-0.70937149250295,0.17941945791244507
12,-0.5722834231380972,-0.75,-0.3316499413558544,0.13474230468273163
74,-0.08467967930963359,0.49,0.8675997648178667,0.25438982248306274
63,0.8863889253260228,0.27,0.37605142342421527,0.12436842918395996
0,0.14106735979665894,-0.99,0.0,287019936.0
91,0.03119864681222026,0.8300000000000001,-0.5568901547316906,0.38428351283073425
93,-0.48798376651655784,0.8700000000000001,-0.07051130133753968,0.140677347779274
50,0.8152062920736045,0.01,0.5790843646340359,0.15443351864814758
60,0.850660805595189,0.20999999999999996,-0.4819504059798521,0.18544639647006989
86,0.3985067064328888,0.73,-0.5552408530791043,0.17610113322734833
58,0.5588657069137133,0.16999999999999993,0.811645933665558,0.25001129508018494
23,0.18611968347547322,-0.53,-0.8273206533279521,0.34746313095092773
20,-0.5173106427303671,-0.59,-0.6199110411324311,0.18493206799030304
44,0.34550733637457615,-0.11,-0.9319467154893275,0.18948489427566528
28,-0.3055644949304832,-0.42999999999999994,-0.8495471378551508,0.24741274118423462
70,-0.07087130928303524,0.41000000000000014,-0.9093279152871687,0.1719360649585724
21,0.8143069224410301,-0.5700000000000001,0.10956384469622286,0.33986106514930725
69,-0.5673624854052105,0.3900000000000001,0.7252584436977084,0.17600613832473755
86,0.3985067064328888,0.73,-0.5552408530791043,0.16014599800109863
23,0.18611968347547322,-0.53,-0.8273206533279521,0.19168350100517273
32,0.15866307873945915,-0.35,0.9232150494033967,0.5927930474281311
84,0.6226773310637855,0.69,0.369016180375984,0.16024693846702576
77,-0.7090144449898004,0.55,0.4413598495511404,0.19668488204479218
65,0.4464120976654115,0.31000000000000005,-0.8394142237643861,0.2796594798564911
23,0.18611968347547322,-0.53,-0.8273206533279521,0.18185678124427795
76,0.8335538861569624,0.53,0.15584581762955937,0.1888459175825119
52,0.6473587655569581,0.05000000000000004,-0.7605436402051965,0.19292986392974854
10,0.25986287961937526,-0.79,-0.5553118797540045,0.1654696762561798
23,0.18611968347547322,-0.53,-0.8273206533279521,0.7211074829101562
98,-0.22167278555738984,0.97,0.09980569193802273,0.10120818763971329
71,0.6597362540258498,0.42999999999999994,0.6163181606312923,0.22941508889198303
5,0.3847191068626957,-0.89,-0.24472680444685596,0.11847143620252609
74,-0.08467967930963359,0.49,0.8675997648178667,0.23663349449634552
88,-0.48384468997886504,0.77,-0.41592585394425297,0.15887586772441864
